PG.ProteinGroups	PG.Genes	[1] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S1_S3-A1_1_20231.d.PG.Quantity	[2] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S2_S3-A2_1_20232.d.PG.Quantity	[3] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S3_S3-A3_1_20233.d.PG.Quantity	[4] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S4_S3-A4_1_20234.d.PG.Quantity	[5] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S5_S3-A5_1_20235.d.PG.Quantity	[6] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S6_S3-A6_1_20236.d.PG.Quantity	[7] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S7_S3-A7_1_20237.d.PG.Quantity	[8] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S8_S3-A8_1_20238.d.PG.Quantity
A2ASA8	Itpripl1	11.947742462158203	16.61676025390625	12.594522476196289	16.844032287597656	14.772890090942383	22.666080474853516	20.33244514465332	16.147964477539062
A2ASQ1	Agrn	92.96887969970703	62.52935791015625	65.27692413330078	78.77487182617188	71.7783203125	47.57960891723633	77.86514282226562	82.12201690673828
A2ASS6	Ttn	307.580078125	468.245361328125	472.5869140625	781.0943603515625	564.3775634765625	211.30955505371094	514.6444091796875	630.6453247070312
A2ASZ8	Slc25a25	57.01613235473633	65.0259780883789	59.8170166015625	79.54264068603516	60.5812873840332	67.30641174316406	47.02534866333008	38.25282287597656
A2AT37	Upf2	224.5019989013672	197.06240844726562	193.46319580078125	234.32276916503906	233.1316375732422	211.47088623046875	198.5647430419922	244.0617218017578
A2ATU0	Dhtkd1	111.25556182861328	109.24010467529297	122.3364486694336	112.98995208740234	123.26666259765625	118.92253875732422	97.76066589355469	120.43961334228516
A2AUU0	Mettl8	68.06063079833984	32.11963653564453	44.51852035522461	31.1188907623291	26.401132583618164	41.2801513671875	25.678829193115234	30.014564514160156
A2AUY4	Baz2b	25.941848754882812	51.12752914428711	46.88803482055664	60.867469787597656	56.860843658447266	41.94501495361328	72.21517944335938	72.65097045898438
A2AWA9	Rabgap1	338.5221252441406	354.61492919921875	383.5210876464844	343.8255310058594	340.29510498046875	287.34161376953125	348.2303771972656	321.9419250488281
A2AWL7	Mga	258.99310302734375	209.77149963378906	211.59300231933594	255.9989013671875	183.5863800048828	236.53025817871094	254.73001098632812	166.11874389648438
A2AWP8	Arhgef10l	235.07301330566406	164.56430053710938	162.9852294921875	211.45603942871094	209.63177490234375	247.0482635498047	289.6947021484375	304.60443115234375
A2AWR3	Gpr155	240.19566345214844	180.66775512695312	255.57119750976562	262.8855895996094	195.28684997558594	146.01255798339844	242.64224243164062	267.271240234375
A2BDX3	Mocs3	250.18450927734375	242.28475952148438	229.2034912109375	221.24391174316406	234.36305236816406	246.03305053710938	254.10752868652344	238.56019592285156
A2BE28	Las1l	249.1807403564453	280.4967041015625	282.2103271484375	275.1683349609375	280.4437561035156	306.8267517089844	285.1042175292969	290.75848388671875
A2BH40	Arid1a	454.0733337402344	447.0522155761719	424.5514831542969	444.9934997558594	438.47320556640625	427.2404479980469	504.2091064453125	489.57952880859375
A2CG49	Kalrn	38.50895690917969	49.22095489501953	36.88469696044922	47.557254791259766	58.08032989501953	25.10769271850586	34.434696197509766	27.372116088867188
A2CG63	Arid4b	112.81938934326172	112.14561462402344	122.72452545166016	122.43224334716797	130.25767517089844	122.87228393554688	113.596435546875	108.09837341308594
A2RSJ4	Bltp3b	199.5509796142578	188.5290985107422	194.44244384765625	204.3524169921875	195.376220703125	143.86196899414062	194.63958740234375	183.5255889892578
A2RSQ0	Dennd5b	137.86004638671875	132.9166717529297	121.41142272949219	118.33167266845703	105.0438003540039	118.2823486328125	114.1136703491211	93.70654296875
A2RSX7	Tyw5	110.36121368408203	60.86385726928711	68.74799346923828	64.06890106201172	63.953147888183594	68.36971282958984	53.69274139404297	59.2280387878418
A2RSY1	Kansl3	66.41766357421875	68.88442993164062	65.45209503173828	58.37493896484375	66.16232299804688	59.496253967285156	81.43553924560547	65.38367462158203
A2RSY6	Trmt1l	605.3693237304688	471.8515319824219	493.2644958496094	563.1075439453125	556.7869262695312	525.9365234375	530.9501953125	602.2907104492188
A2RT67	Dennd3	NaN	35.02313232421875	4.306112289428711	13.44899845123291	NaN	15.953824043273926	30.647727966308594	38.46061706542969
A2RTL5	Rsrc2	23.442182540893555	38.057456970214844	38.35934829711914	20.610292434692383	24.14130973815918	32.553035736083984	25.418367385864258	26.480392456054688
A2TJV2	Palm3	59.4572639465332	58.051422119140625	46.351593017578125	52.88794708251953	47.48093795776367	36.493408203125	31.44638442993164	21.014530181884766
A3KFM7	Chd6	39.107574462890625	30.26253318786621	26.028221130371094	24.87556266784668	24.436809539794922	18.101455688476562	32.09121322631836	30.224781036376953
